human_gene	chicken_gene
NPTN	NPTN
IP6K3	IP6K3
ZNF362	ZNF362
CRABP2	CRABP2
FRA10AC1	FRA10AC1
MAPK1IP1L	MAPK1IP1L
NDUFS5	NDUFS5
KCTD20	KCTD20
FBXO34	FBXO34
BMF	BMF
MARK3	MARK3
KIF2C	KIF2C
NACA	NACA
CLMP	CLMP
ANPEP	ANPEP
PCSK7	PCSK7
CASP7	CASP7
GLRB	GLRB
LAIR2	CHIR-IG1-5
LAIR2	CHIR1AB3
LAIR2	CHIR-AB-600
LAIR2	CHIR-AB-502
LAIR2	IGSF1
LAIR2	CHIR-AB-487
LAIR2	CHIR-B3
DMGDH	DMGDH
ZNF276	ZNF276
GABRA2	GABRA2
SLTM	SLTM
GNE	GNE
SIRT1	SIRT1
SAP30L	SAP30L
MTRES1	C6orf203
RECQL4	RECQL4
MGAT4B	MGAT4B
CIAPIN1	CIAPIN1
TENT5A	FAM46A
PAQR8	PAQR8
SET	SET
NR4A2	NR4A2
FAM149B1	FAM149B1
RAB15	RAB15
KCNT1	KCNT1
RCC2	RCC2
ALDH2	ALDH2
DCUN1D4	DCUN1D4
CYTH1	CYTH1
EXD2	EXD2
ME3	ME3
STAR	STAR
PHF20L1	PHF20L1
EHF	EHF
FERMT2	FERMT2
DOCK2	DOCK2
HSDL1	HSDL1
STAT3	STAT3
HEATR1	HEATR1
PPL	PPL
TXK	TXK
RPAP1	RPAP1
CYP17A1	CYP17A1
HYCC2	FAM126B
PHACTR2	PHACTR2
DDX19A	DDX19
BPNT2	IMPAD1
INAVA	C1orf106
RBP4	RBP4
EEF1D	EEF1D
VDAC1	VDAC1
GEMIN7	GEMIN7
ADK	ADK
PIP5K1A	PIP5K1A
CALR	CALR
RASSF3	RASSF3
GDPGP1	GDPGP1
CSRP3	CSRP3
EXOC5	EXOC5
HAUS2	HAUS2
KCNJ8	KCNJ8
PITRM1	PITRM1
PDE3A	PDE3A
LPAR2	LPAR2
CIB1	CIB1
S1PR3	S1PR3
ATG9A	ATG9A
PTBP3	PTBP3
OSBPL8	OSBPL8
INSYN1	INSYN1
LRRC1	LRRC1
UBE3A	UBE3A
GOLPH3	GOLPH3
KCNK10	KCNK10
SPDL1	SPDL1
EXOC3L1	EXOC3L1
MLH3	MLH3
GNPDA2	GNPDA2
SMOC2	SMOC2
SPON2	SPON2
PPP3CB	PPP3CB
PPA2	PPA2
PLA2G7	PLA2G7
RFX3	RFX3
PIK3R1	PIK3R1
GMNN	GMNN
MIPOL1	MIPOL1
VANGL1	VANGL1
GSG1L	GSG1L
NFIL3	NFIL3
MARCHF8	MARCHF8
AUH	AUH
MTF2	MTF2
SPPL2B	SPPL2C
HERPUD1	HERPUD1
DCBLD1	DCBLD1
SCFD1	SCFD1
MDM2	MDM2
WAPL	WAPL
ARRDC1	ARRDC1
ANKRD6	ANKRD6
HOPX	HOPX
TC2N	TC2N
INO80	INO80
OBP2B	EXFABP
VCP	VCP
EVC	EVC
DDX19B	DDX19
ARHGEF2	ARHGEF2
FGFR4	FGFR4
CCDC9	CCDC9
ARHGAP15	ARHGAP15
MFAP3L	MFAP3L
PRMT9	PRMT9
IFI27L1	IFI27L2
BTD	BTD
CENPC	CENPC
BEND7	BEND7
TAF1B	TAF1B
CIPC	CIPC
CAVIN2	PRKCDBP
UBXN4	UBXN4
TECPR2	TECPR2
ANKRD2	ANKRD2
SEL1L3	SEL1L3
LRRC28	LRRC28
UROS	UROS
USP24	USP24
ABI3BP	ABI3BP
KLHDC1	KLHDC1
EML5	EML5
SVBP	SVBP
HDLBP	HDLBP
MFAP5	MFAP5
CENPE	CENPE
TIMM44	TIMM44
RRAGC	RRAGC
CYP21A2	CYP21A1
DMBX1	DMBX1
WARS2	WARS2
YAP1	YAP1
METTL13	METTL13
CLN6	CLN6
SLC25A42	SLC25A42
RESF1	RESF1
NUDT2	NUDT2
KIF14	KIF14
USP35	USP35
RCN2	RCN2
ZC3H12A	ZC3H12A
TEX10	TEX10
SARM1	SARM1
IFFO1	IFFO1
DCK	DCK
GRK2	GRK2
UNC45A	UNC45A
LHX8	LHX8
TK1	TK1
TTC8	TTC8
SSU72	SSU72
CEP44	CEP44
SMAP1	SMAP1
SPATS2	SPATS2
AGTRAP	AGTRAP
ALOX5	ALOX5
APTX	APTX
TBC1D1	TBC1D1
PLIN3	PLIN3
PLIN3	PLIN5
PLIN3	PLIN4
GRN	GRN
ENTPD5	ENTPD5
PPP1R8	PPP1R8
PDPR	PDPR
PTDSS2	PTDSS2
ZRANB2	ZRANB2
RNF126	RNF126
TBC1D2B	TBC1D2B
ANXA7	ANXA7
PTPRB	PTPRB
GALNS	GALNS
LHX4	LHX4
CAVIN1	PTRF
LONP1	LONP1
PGS1	PGS1
SPATA6	SPATA6
GTF2H1	GTF2H1
MYO9A	MYO9A
GALNT12	GALNT12
RAB40C	RAB40C
ENGASE	ENGASE
RWDD3	RWDD3
AQP3	AQP3
PLAA	PLAA
AARS1	AARS1
RPL9	RPL9
PTGES3L	PTGES3L
PRR7	PRR7
RBM8A	RBM8A
FEM1C	FEM1C
RANBP17	RANBP17
ULK2	ULK2
LEO1	LEO1
AGMAT	AGMAT
DUSP8	DUSP8
ERI3	ERI3
C11orf54	C11orf54
ANXA2	ANXA2
ABCA2	ABCA2
UCHL1	UCHL1
ZC3H14	ZC3H14
MYSM1	MYSM1
CALCOCO2	CALCOCO2
SYT2	SYT2
HIP1	HIP1
ZBTB8B	RP1-27O5.3
NAA35	NAA35
TMEM267	TMEM267
NRAS	NRAS
CCK	CCK
KLHL8	KLHL8
ENAH	ENAH
ABHD17A	ABHD17A
DHX29	DHX29
RAD52	RAD52
CYTH3	CYTH3
RBM20	RBM20
FBXW5	FBXW5
POLRMT	POLRMT
COL17A1	COL17A1
GSDME	DFNA5
PHYHD1	PHYHD1
UQCRC1	UQCRC1
FAM72A	FAM72A
CFAP69	CFAP69
RASA1	RASA1
RASSF6	RASSF6
VAC14	VAC14
BRCA1	BRCA1
STAT6	STAT6
TMEM128	TMEM128
HIPK1	HIPK1
RASGEF1B	RASGEF1B
UQCRC2	UQCRC2
DOCK1	DOCK1
UMAD1	UMAD1
ZNF131	ZNF131
CORIN	CORIN
CALM1	CALM1
STRBP	STRBP
FAM185A	FAM185A
ILK	ILK
SYNDIG1L	SYNDIG1L
STK17A	STK17A
HECTD1	HECTD1
CCNH	CCNH
WWTR1	WWTR1
DLG5	DLG5
DHFR2	DHFR
DYNLL2	DYNLL2
SLC6A6	SLC6A6
DUS3L	DUS3L
RASSF5	RASSF5
MRPL37	MRPL37
TBXAS1	TBXAS1
EEIG2	FAM102B
SLC44A1	SLC44A1
INSYN2A	FAM196A
IL10RA	IL10RA
LRRC2	LRRC2
TLE2	TLE2
CAMK1G	CAMK1G
AKR1C2	AKR1B10
CNBP	CNBP
STIM1	STIM1
EXOSC9	EXOSC9
FAM72C	FAM72A
PWWP2B	PWWP2B
AGO1	AGO1
EBF3	EBF3
NCOA4	NCOA4
CD81	CD81
SYK	SYK
CDK11B	CDC2L1
BPGM	BPGM
THUMPD3	THUMPD3
MET	MET
ACAD8	ACAD8
ELAVL1	ELAVL1
GFRA3	GFRA3
FBXW11	FBXW11
RHBDD1	RHBDD1
FKBP8	FKBP8
ACTB	ACTB
TIRAP	TIRAP
VASN	VASN
TMEM17	TMEM17
N4BP3	N4BP3
COQ4	COQ4
CAPN14	CAPN14
CSNK2A2	CSNK2A2
HTRA1	HTRA1
EHD3	EHD3
KCNMB1	KCNMB1
FAM3D	FAM3D
PHYKPL	PHYKPL
SLC4A4	SLC4A4
BUD13	BUD13
ROCK2	ROCK2
TESK1	TESK1
GPT2	GPT2
PDHX	PDHX
ZDHHC6	ZDHHC6
ECM2	ECM2
WNT2	WNT2
CNOT2	CNOT2
GAA	GAA
SKAP2	SKAP2
GTF2H2C	GTF2H2
RUSC2	RUSC2
PLCD3	PLCD3
VPS11	VPS11
MPHOSPH6	MPHOSPH6
SLC26A11	SLC26A11
CRTAC1	CRTAC1
THADA	THADA
TANGO6	TMCO7
OLFM1	OLFM1
CFTR	CFTR
TGFBR1	TGFBR1
KDM4B	KDM4B
PLEKHG4	PLEKHG4
CCDC171	CCDC171
CORO2B	CORO2B
NAB2	NAB2
RHOH	RHOH
TOMM20	TOMM20
ADAMTS7	ADAMTS7
CADPS2	CADPS2
DEPDC1	DEPDC1
CEMIP2	TMEM2
UNC119B	UNC119B
SNRNP35	SNRNP35
CD2AP	CD2AP
SCAMP1	SCAMP1
MON2	MON2
NICOL1	C4orf48
GPD1L	GPD1L
RBPJ	RBPJ
GOLGA7B	GOLGA7B
LZTS2	LZTS2
CCDC50	CCDC50
FNDC7	FNDC7
MTREX	SKIV2L2
USP31	USP31
S100A11	S100A11
UBQLN4	UBQLN4
DAZAP1	DAZAP1
ATOSB	FAM214B
ULK4	ULK4
NRBF2	NRBF2
MLIP	MLIP
RAD54L	RAD54L
LDHD	LDHD
PARD3	PARD3
IDUA	IDUA
MASP1	MASP1
CSF3	CSF3
FOXL1	FOXL1
CETP	CETP
EXOC7	EXOC7
SLC25A25	SLC25A25
MARCKSL1	MARCKSL1
MEAF6	MEAF6
SUCLG2	SUCLG2
TCEANC2	TCEANC2
FEZF2	FEZF2
TUT7	ZCCHC6
GPN2	GPN2
FAXDC2	FAXDC2
UQCR11	UQCR11
SETD2	SETD2
RPS8	RPS8
CHST8	CHST8
TMEM59	TMEM59
SLC26A1	SLC26A1
WWC2	WWC2
CDC23	CDC23
COQ3	COQ3
CFAP263	CCDC113
PPIL6	PPIL6
CPNE7	CPNE7
RABEPK	RABEPK
PLPP1	PLPP1
PCBP4	PCBP4
NSUN5	NSUN5
RNF14	RNF14
ARRB1	ARRB1
PARD6A	PARD6A
TFB1M	TFB1M
CNIH3	CNIH3
UAP1L1	UAP1L1
GOT2	GOT2
RNGTT	RNGTT
TMEM209	TMEM209
ZBTB8OS	ZBTB8OS
CLOCK	CLOCK
NEK6	NEK6
CEP89	CEP89
RNF25	RNF25
PON2	PON1
ZMYM4	ZMYM4
CARHSP1	CARHSP1
RPL10A	RPL10A
DAAM2	DAAM2
PTGER4	PTGER4
NFIC	NFIC
APAF1	APAF1
RHOQ	RHOQ
SLC1A3	SLC1A3
FBXO11	FBXO11
FAM3C	FAM3C
GSN	GSN
KPNB1	KPNB1
OLFML3	OLFML3
FNBP1L	FNBP1L
VPS41	VPS41
SLC39A3	SLC39A3
CNIH4	CNIH4
SLC30A9	SLC30A9
CCDC61	CCDC61
DENND2B	DENND2B
EIF2B4	EIF2B4
GSTA3	GSTA2
PSMB4	PSMB4
TTC1	TTC1
ZDHHC7	ZDHHC7
PPCS	PPCS
MMACHC	MMACHC
NUDT12	NUDT12
NVL	NVL
TRIM65	TRIM65
NME5	NME5
CCDC43	CCDC43
KLHL5	KLHL5
NT5C3B	NT5C3B
PAICS	PAICS
CCDC69	CCDC69
MOCS1	MOCS1
RPS14	RPS14
HNRNPA2B1	HNRNPA2B1
SMPD3	SMPD3
STAT5A	STAT5A
PSMA5	PSMA5
SH3TC2	SH3TC2
PI4K2B	PI4K2B
FABP1	FABP1
RPL5	RPL5
NPNT	NPNT
HTR1E	HTR1E
CXXC5	CXXC5
SKIC2	SKIV2L
GNPTAB	GNPTAB
MRTO4	MRTO4
SEPTIN2	SEPTIN2
BFAR	BFAR
ANKH	ANKH
RASSF8	RASSF8
COL16A1	COL16A1
CCT5	CCT5
IRF8	IRF8
CFI	CFI
DERA	DERA
MSMO1	MSMO1
ZSWIM7	ZSWIM7
MTHFD2L	MTHFD2L
PAN2	PAN2
CRELD1	CRELD1
STX18	STX18
FDXR	FDXR
CLGN	CLGN
NSG1	NSG1
EBF1	EBF1
MTOR	MTOR
RANBP9	RANBP9
TRMT10A	TRMT10A
CCNC	CCNC
GPAT3	GPAT3
TAPT1	TAPT1
SH3BP2	SH3BP2
GLCCI1	GLCCI1
ABHD14A	ABHD14A
R3HCC1L	R3HCC1L
AP2S1	AP2S1
EIF2A	EIF2A
ZNF467	ZNF467
SLC35E1	SLC35E1
FLOT2	FLOT2
WIPI2	WIPI2
NHLH2	NHLH2
UBE2T	UBE2T
KATNB1	KATNB1
DHX32	DHX32
SRGAP2	SRGAP2
PODXL2	PODXL2
CAPRIN2	CAPRIN2
FBLN2	FBLN2
ANXA11	ANXA11
PPP3CA	PPP3CA
PEX1	PEX1
FOLH1	FOLH1
DRC3	DRC3
RSBN1	RSBN1
TRDN	TRDN
GABRG1	GABRG1
SH3BGRL3	SH3BGRL3
GUCY1A1	GUCY1A3
CENPF	CENPF
SYF2	SYF2
KLC3	KLC2
B4GALT4	B4GALT4
C1orf50	C1orf50
TMED5	TMED5
NSL1	NSL1
ATXN1L	ATXN1L
KCTD5	KCTD5
RPA2	RPA2
REXO5	REXO5
KCNA4	KCNA4
DDX6	DDX6
DTL	DTL
PDSS2	PDSS2
RILP	RILP
NNT	NNT
MCM9	MCM9
LASP1	LASP1
CEP162	CEP162
YWHAE	YWHAE
NAV1	NAV1
NSF	NSF
ENPP4	ENPP4
PAMR1	PAMR1
NBEAL2	NBEAL2
PGLS	PGLS
CREB3L3	CREB3L3
ATP6V0D1	ATP6V0D1
TFB2M	TFB2M
SNCA	SNCA
FAM72D	FAM72A
B3GAT3	B3GAT3
ATAD3A	ATAD3B
ALDH18A1	ALDH18A1
CDKN1C	CDKN1C
LRRFIP2	LRRFIP2
INTS1	INTS1
PPP6R3	PPP6R3
NPRL3	NPRL3
HNRNPL	HNRNPL
PHGDH	PHGDH
PDCD4	PDCD4
ADAM17	ADAM17
FRG1	FRG1BP
KRT19	KRT24
TRAPPC11	TRAPPC11
TSEN54	TSEN54
RSPH10B	RSPH10B
BASP1	BASP1
ZNF366	ZNF366
POLK	POLK
FMNL1	FMNL1
MPC2	MPC2
C1GALT1	C1GALT1
BMI1	BMI1
WIF1	WIF1
UNC50	UNC50
GOLT1A	GOLT1A
ENOPH1	ENOPH1
SSBP3	SSBP3
PPAT	PPAT
TOB1	TOB1
RASA4B	RASA4B
RAP1B	RAP1B
MSL1	MSL1
IFT172	IFT172
SPNS2	SPNS2
MARCHF2	MARCH2
GABRB2	GABRB2
TFEC	TFEC
TOP3A	TOP3A
MMP23B	MMP23A
NUDT9	NUDT9
MGMT	MGMT
TES	TES
CREBRF	CREBRF
RPS27	RPS27
WDR59	WDR59
FANCE	FANCE
PPA1	PPA1
GIPC2	GIPC2
BEND5	BEND5
TAF15	TAF15
NUCKS1	NUCKS1
SLC49A3	MFSD7
WASF1	WASF1
CREB5	CREB5
IRF1	IRF1
SDC3	SDC3
BBIP1	BBIP1
CROCC	CROCC
LANCL2	LANCL2
OCIAD1	OCIAD2
PFKP	PFKP
RABEP1	RABEP1
TRAF7	TRAF7
ORAI2	ORAI3
NDST1	NDST1
GUSB	GUSB
DR1	DR1
DDX20	DDX20
VGLL2	VGLL2
SSBP2	SSBP2
FIRRM	C1orf112
BAMBI	BAMBI
ACVR1	ATVR1
PDE1C	PDE1C
SRR	SRR
NEBL	NEBL
COG1	COG1
TNFAIP8L1	TNFAIP8L1
RNF166	RNF166
EVA1B	EVA1B
E4F1	E4F1
CDK11A	CDC2L1
TAPBPL	TAPBPL
SUOX	SUOX
PAOX	PAOX
FCGRT	MHCY15
FCGRT	MHCY6
FCGRT	MHCY7
FCGRT	MHCY4
FCGRT	BF2
FCGRT	BF1
FCGRT	MHCY11
FCGRT	MHCYL
USP36	USP36
BCS1L	BCS1L
EEF2KMT	EEF2KMT
SGMS1	SGMS1
METTL18	METTL18
SPATA17	SPATA17
TUT4	ZCCHC11
LMO3	LMO3
BAK1	BAK1
ASL	ASL1
SLC38A10	SLC38A10
HMGA1	HMGA1
DNAJC1	DNAJC1
LPCAT3	LPCAT3
RCAN3	RCAN3
FKRP	FKRP
HPS1	HPS1
UBE2D2	UBE2D2
TOE1	TOE1
TLR6	TLR1A
TLR6	TLR1B
ZNF518B	ZNF518B
TRIM26	BTN1
CLSPN	CLSPN
CTNNA1	CTNNA1
GPM6A	GPM6A
PLEKHA5	PLEKHA5
RAD51C	RAD51C
XPO1	XPO1
SFTPA1	SFTPA2
NFKB1	NFKB1
SLC16A3	SLC16A3
CFAP206	CFAP206
SOX13	SOX13
MOG	BGV
MOG	BG1
MOG	BTN1A1
MOG	MOG
MOG	BG8
LGALS9	LGALSL2
VAV1	VAV1
STYK1	STYK1
PRIMPOL	PRIMPOL
EHBP1	EHBP1
CEP350	CEP350
FBRSL1	FBRSL1
TBC1D32	TBC1D32
NOP14	NOP14
MED8	MED8
SPAG9	SPAG9
PGAM5	PGAM5
COA7	COA7
KLHL7	KLHL7
CNN3	CNN3
YBX3	YBX3
PPT2	PPT2
TLR2	TLR2A
TLR2	TLR2
MT3	MT4
MAEA	MAEA
OSBPL6	OSBPL6
GRM3	GRM3
ORC5	ORC5
EXTL2	EXTL2
MOB3A	MOB3A
PTPRU	PTPRU
ANGPTL5	ANGPTL5
FUT6	FUT6
TSR3	TSR3
PGAP2	PGAP2
SLC39A5	SLC39A5
RRAD	RRAD
NRCAM	NRCAM
CDH10	CDH10
SH3D19	SH3D19
SULT1A4	SULT
SULT1A4	SULT6B1L
FOXO3	FOXO3
DOK3	DOK3
TPM4	TPM4
B4GALT7	B4GALT7
SLF1	SLF1
GOPC	GOPC
E2F4	E2F4
ATP6V0B	ATP6V0B
BCL2L14	BCL2L14
MICU1	MICU1
NELFA	NELFA
FGF18	FGF18
NPR3	NPR3
EVI5L	EVI5L
ACD	ACD
MAP7	MAP7
TIPRL	TIPRL
GDPD5	GDPD5
FAM114A1	FAM114A1
FASTKD3	FASTKD3
PMVK	PMVK
CLPTM1L	CLPTM1L
UCK2	UCK2
NAAA	NAAA
RASAL1	RASAL1
SULT1A1	SULT
SULT1A1	SULT6B1L
SLC38A7	SLC38A7
ANK2	ANK2
ACOT7	ACOT7
CALHM2	CALHM2
INPP5F	INPP5F
ECI1	ECI1
DNAJC21	DNAJC21
SF3B4	SF3B4
STXBP5	STXBP5
CFAP144	FAM183A
CAPN9	CAPN9
NFAT5	NFAT5
NIT1	NIT1
JMY	JMY
CFAP300	C11orf70
ZNRF2	ZNRF2
BIRC3	BIRC2
RASGEF1C	RASGEF1C
CRPPA	ISPD
GPAM	GPAM
ADCK2	ADCK2
SENP1	SENP1
AMBRA1	AMBRA1
GABRR1	GABRR1
ZFYVE16	MXD3
GTF2H5	GTF2H5
RAB23	RAB23
PIK3CG	PIK3CG
SLC38A1	SLC38A1
DMTF1	DMTF1
P4HA3	P4HA3
AMFR	AMFR
UBR2	UBR2
AP3M1	AP3M1
TLCD4	TLCD4
ACKR3	CXCR7
KIAA0319	KIAA0319
COBLL1	COBLL1
SLC35C1	SLC35C1
ISL1	ISL1
TCEA3	TCEA3
METTL22	METTL22
LTC4S	LTC4SL
LTC4S	LTC4S
CAMK2G	CAMK2G
LPCAT1	LPCAT1
MPRIP	MPRIP
SENP6	SENP6
CCNL2	CCNL2
CNOT6	CNOT6
CFAP119	CCDC189
FABP6	FABP6
ATP2C2	ATP2C2
PPP2CA	PPP2CA
SZRD1	SZRD1
HSPA4	HSPA4
TMEM100	TMEM100
IL27RA	IL2RG
P4HB	P4HB
ADGRL2	ADGRL2
STARD10	STARD10
HMG20B	HMG20B
OTX1	OTX1
USP39	USP39
RAB14	RAB14
MAN2A1	MAN2A1
EME1	EME1
BORCS8	BORCS8
PDXDC1	PDXDC1
SEMA3C	SEMA3C
CDC5L	CDC5L
PACSIN1	PACSIN1
NEURL4	NEURL4
PHIP	PHIP
B3GNT2	B3GNT2
SIK3	SIK3
PPM1B	PPM1B
BAG2	BAG2
PHF10	PHF10
ELN	ELN
SLC30A5	SLC30A5
CDC37	CDC37
RFFL	RFFL
IRAK4	IRAK4
AARS2	AARS2
LOXL3	LOXL3
PIAS4	PIAS4
SKP1	SKP1
KLHDC3	KLHDC3
ZBTB7A	ZBTB7A
R3HDM4	R3HDM4
LCP2	LCP2
KCNJ12	KCNJ12
RPL6	RPL6
ITGB4	ITGB4
PAK4	PAK4
MARCHF3	MARCH3
MSH3	MSH3
CAPN13	CAPN13
DDB1	DDB1
PDPK1	PDPK1
POPDC3	POPDC3
KLHL41	BBS5
BZW1	BZW1
SKIC3	TTC37
AXIN1	AXIN1
COMMD3	COMMD3
C1S	C1S
TSPAN14	TSPAN14
LYRM1	LYRM1
SNTB2	SNTB2
CMC2	CMC2
LYG1	LYG2
UBE2F	UBE2F
CDH8	CDH8
FCHSD1	FCHSD1
FUCA2	FUCA2
DOCK7	DOCK7
GIT2	GIT2
L3MBTL3	L3MBTL3
CENPN	CENPN
PLA2G12B	PLA2G12B
GALNT10	GALNT10
GBF1	GBF1
SSBP4	SSBP4
ZNF821	ZNF821
ATG10	ATG10
UQCC2	C26H6ORF125
PAK1IP1	PAK1IP1
FAM120B	FAM120B
ANKRD27	ANKRD27
PSD2	PSD2
HMGCR	HMGCR
RHOT2	RHOT2
OSR1	OSR1
LYPD6	LYPD6
DLL1	DLL1
RBM5	RBM10
TSSC4	TSSC4
MSH2	MSH2
NUP88	NUP88
FYN	FYN
TKFC	TKFC
ITGAX	ITGAD
CSTF3	CSTF3
CNTNAP4	CNTNAP4
ANO4	ANO4
MRPL23	MRPL23
SBK2	SBK2
ARHGAP45	ARHGAP45
ARCN1	ARCN1
CAST	CAST
FRMD8	FRMD8
POMGNT2	POMGNT2
CBFB	CBFB
FGGY	FGGY
ZDHHC5	ZDHHC5
A2M	A2M
A2M	A2ML3
WDPCP	WDPCP
FSTL3	FSTL3
CYB5R2	CYB5R2
KARS1	KARS1
VCL	VCL
ALDH3A2	ALDH3A2
AKAP8L	AKAP8L
CALM2	CALM2
ABCC1	ABCC1
CAVIN3	PRKCDBP
C6orf62	C6orf62
ZC3H15	ZC3H15
KAT6B	KAT6B
CALB2	CALB2
CAMK2N1	CAMK2N1
VSNL1	VSNL1
ADAMTSL5	ADAMTSL5
ENPEP	ENPEP
ASPSCR1	ASPSCR1
PALMD	PALMD
XPO6	XPO6
GMEB1	GMEB1
C1QTNF4	C1QTNF4
CERS6	CERS6
NAA40	NAA40
THNSL2	THNSL2
GPR162	GPR162
GMCL1	GMCL1
RAB3B	RAB3B
PRDM1	PRDM1
MFSD10	MFSD10
PLEKHH3	PLEKHH3
WNT2B	WNT2B
ARID2	ARID2
RPS6KA2	RPS6KA2
INTS11	INTS11
TRADD	TRADD
SLC4A10	SLC4A10
CSRNP2	CSRNP2
COG4	COG4
TP53	TP53
SLC2A9	SLC2A9
STRAP	STRAP
RFC1	RFC1
XRCC5	XRCC5
PAF1	PAF1
GPR182	GPR182
PA2G4	PA2G4
GMPR	GMPR2
TMEM135	TMEM135
EDRF1	EDRF1
HSBP1	HSBP1
EEF1A1	EEF1A1
NLRC5	NLRC5
POLR2E	POLR2E
OSBPL11	OSBPL11
NPY1R	NPY1R
GRK4	GRK4
LIMA1	LIMA1
WDR43	WDR43
OXNAD1	OXNAD1
NOC3L	NOC3L
METTL15	METTL15
LHFPL2	LHFPL2
CERS4	CERS4
CERS4	CERS4L
STX3	STX3
MYOZ1	MYOZ1
NUDCD2	NUDCD2
NUP155	NUP155
SMC3	SMC3
TBCK	TBCK
COPS7A	COPS7A
ZFYVE9	ZFYVE9
FHIP1B	FHIP1B
SENP2	SENP2
FBXL8	FBXL8
ZNRF1	ZNRF1
HNRNPA3	HNRNPA3
VPS35L	C16orf62
SGIP1	SGIP1
CAT	CAT
MCMBP	MCMBP
LEMD2	LEMD2
SLC25A28	SLC25A28
RIOK1	RIOK1
LIPH	LIPH
ITGB1	ITGB1
NPY5R	NPY5R
CTNND1	CTNND1
NMU	NMU
BRIX1	BRIX1
APOD	APOD
RIPK1	RIPK1
TOPBP1	TOPBP1
DUSP14	DUSP14
TMEM63B	TMEM63B
UIMC1	UIMC1
UBA6	UBA6
SLC25A16	SLC25A16
PBLD	PBLD
THBS4	COMP
LARS2	LARS2
BHLHE41	BHLHE41
CHD4	CHD4
FBXO4	C5orf51
RAB5C	RAB5C
BMS1	BMS1
IL15	IL15
UNC5A	UNC5A
KPNA5	KPNA5
HOMER1	HOMER1
SLC29A1	SLC29A1
KLHL12	KLHL12
LARS1	LARS
FOXK2	FOXK2
PRPF18	PRPF18
MSTO1	MSTO1
CPSF3	CPSF3
ST6GALNAC1	ST6GALNAC1
NOMO1	PM5
AP3D1	AP3D1
ACOX1	ACOX1
SPSB4	SPSB4
SNX25	SNX25
ACY1	ACY1
PTPN22	PTPN22
SLC13A5	SLC13A5
CTBP2	CTBP2
MAP2K3	MAP2K3
CCDC102A	CCDC102A
CFAP97	CFAP97
RPL34	RPL34
PARN	PARN
PALLD	PALLD
CCDC57	CCDC57
SLC2A5	SLC2A5
OGFOD3	OGFOD3
HHIP	HHIP
PDLIM5	PDLIM5
ITGA2B	ITGA2B
HK3	HK3
ZNF652	ZNF652
KLHDC8A	KLHDC8A
PALM	PALM
HMGXB3	HMGXB3
UTP4	UTP4
MPND	MPND
RASL10B	RASL10B
DAW1	DAW1
HEXD	HEXDC
GOLGA4	GOLGA4
STING1	TMEM173
UCHL5	UCHL5
IL6ST	IL6ST
ALDOC	ALDOC
RTBDN	RBP
DNAI7	DNAI7
BIN1	BIN1
RPS3A	RPS3A
NHERF2	SLC9A3R2
DHX34	DHX34
FAM8A1	FAM8A1
CARMIL1	CARMIL1
CBLB	CBLB
MVD	MVD
HTRA3	HTRA3
SH3PXD2B	SH3PXD2B
RAB40B	RAB40B
PDIK1L	PDIK1L
LRRN2	LRRN2
SLC2A13	SLC2A13
CYBC1	CYBC1
DRGX	DRGX
CPLX2	CPLX2
CLCC1	CLCC1
DNAJB12	DNAJB12
LARP7	LARP7
USP15	USP15
PLA2G15	PLA2G15
ITGA8	ITGA8
NR3C1	NR3C1
MRPL14	MRPL14
HNRNPH3	HNRNPH3
NUBP1	NUBP1
C4A	C4
LIN54	LIN54
C17orf75	C17orf75
TOM1L2	TOM1L2
VIPR1	VIPR1
OGDHL	OGDHL
SLC5A8	SLC5A8
AMY1B	AMY2A
AMY1B	AMY1A
MAP1LC3B	MAP1LC3B
DYNLL1	DYL1
TBL3	TBL3
AADAT	AADAT
TAFA2	FAM19A2
INPP5A	INPP5A
COP1	RFWD2
C7	C7
MYF6	MYF6
ZCCHC10	ZCCHC10
METAP1	METAP1
CACNA1D	CACNA1D
GRAMD2B	GRAMD3
SLC16A7	SLC16A7
PACRGL	PACRGL
MFSD13A	MFSD13A
CYP4F2	CYP4B7
COQ9	COQ9
SEPTIN8	SEPTIN8
DUS1L	DUS1L
ANKRD26	ANKRD26
EMP1	EMP1
SNN	SNN
SLC5A11	SLC5A11
CCDC91	CCDC91
CUTC	CUTC
WASHC2C	FAM21C
NUP133	NUP133
CCNI2	CCNI2
RUNDC3A	RUNDC3A
PLK2	PLK2
RGS11	RGS11
MYL6	MYL6
TUBG1	TUBG1
SAMD14	SAMD14
ETF1	ETF1
PCCB	PCCB
SULT1A3	SULT
SULT1A3	SULT6B1L
C1QTNF1	C1QTNF1
KCTD15	KCTD15
EIF2B1	EIF2B1
OXCT1	OXCT1
WIPF2	WIPF2
FKBP4	FKBP4
LPAR3	LPAR3
SAE1	SAE1
CTCF	CTCF
GLT1D1	GLT1D1
PIK3R2	PIK3R2
SREK1	SREK1
ANXA5	ANXA5
REPS1	REPS1
PEX5	PEX5
NUP93	NUP93
FSD1	FSD1
DHRS11	DHRS11
CEPT1	CEPT1
PECAM1	PECAM1
USHBP1	USHBP1
MOBP	MOBP
CFD	CFD
PRELP	PRELP
CEP85	CEP85
SMARCE1	SMARCE1
PPP2R3A	PPP2R3A
WDR18	WDR18
NAP1L4	NAP1L4
DMAP1	DMAP1
CNEP1R1	CNEP1R1
